Matches,Year,Season ,City,Date,Match_type,Player_of_match,Venue,Home Team,Visiting Team,Toss_winner,Toss_decision,Match Winner,Home/Away Result,Won By,Result_margin,Winning Margin Category,Target_Runs,Target_overs,Super_over,Result Method
6,2013,Season 6,Pune,07-04-2013,League,M Vohra,Subrata Roy Sahara Stadium,Pune Warriors,Punjab Kings,Pune Warriors,Bating,Punjab Kings,Away Win,wickets,8,Dominating Win,100,20,No,Normal
7,2013,Season 6,Hyderabad,07-04-2013,League,GH Vihari,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bating,Sunrisers Hyderabad,Home Win,Tie,0,Other,131,20,Yes,Normal
8,2013,Season 6,Jaipur,08-04-2013,League,SK Trivedi,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Rajasthan Royals,Home Win,Runs,19,Moderate Win,145,20,No,Normal
9,2013,Season 6,Mumbai,09-04-2013,League,KD Karthik,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,Bating,Mumbai Indians,Home Win,Runs,44,Moderate Win,210,20,No,Normal
10,2013,Season 6,Bengaluru,09-04-2013,League,V Kohli,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Bating,Royal Challengers Bengaluru,Home Win,wickets,7,Dominating Win,162,20,No,Normal
11,2013,Season 6,Chandigarh,10-04-2013,League,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Fielding,Chennai Super Kings,Away Win,wickets,10,Dominating Win,139,20,No,Normal
12,2013,Season 6,Bengaluru,11-04-2013,League,CH Gayle,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Home Win,wickets,8,Dominating Win,155,20,No,Normal
13,2013,Season 6,Pune,11-04-2013,League,AJ Finch,Subrata Roy Sahara Stadium,Pune Warriors,Rajasthan Royals,Rajasthan Royals,Bating,Pune Warriors,Home Win,wickets,7,Dominating Win,146,20,No,Normal
14,2013,Season 6,Delhi,12-04-2013,League,A Mishra,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Bating,Sunrisers Hyderabad,Away Win,wickets,3,Close Match,115,20,No,Normal
15,2013,Season 6,Mumbai,13-04-2013,League,RG Sharma,Wankhede Stadium,Mumbai Indians,Pune Warriors,Mumbai Indians,Bating,Mumbai Indians,Home Win,Runs,41,Moderate Win,184,20,No,Normal
16,2013,Season 6,Chennai,13-04-2013,League,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Fielding,Chennai Super Kings,Home Win,wickets,4,Moderate Win,166,20,No,Normal
17,2013,Season 6,Kolkata,14-04-2013,League,G Gambhir,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bating,Kolkata Knight Riders,Home Win,Runs,48,Moderate Win,181,20,No,Normal
18,2013,Season 6,Jaipur,14-04-2013,League,JP Faulkner,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,Fielding,Rajasthan Royals,Home Win,wickets,6,Moderate Win,125,20,No,Normal
19,2013,Season 6,Chennai,15-04-2013,League,SPD Smith,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Pune Warriors,Pune Warriors,Bating,Pune Warriors,Away Win,Runs,24,Moderate Win,160,20,No,Normal
